company_keyword,linkedin_url,ai_score
Logistics Tech,https://www.linkedin.com/company/example-logistics-tech-1,10
FinTech B2B platform,https://www.linkedin.com/company/example-fintech-b2b-platform-2,8
Media Tech,https://www.linkedin.com/company/example-media-tech-3,8
Travel SaaS,https://www.linkedin.com/company/example-travel-saas-4,6
Insurance Tech,https://www.linkedin.com/company/example-insurance-tech-5,7
Biotech SaaS,https://www.linkedin.com/company/example-biotech-saas-6,4
GreenTech,https://www.linkedin.com/company/example-greentech-7,8
Marketing Automation,https://www.linkedin.com/company/example-marketing-automation-8,7
Legal Tech,https://www.linkedin.com/company/example-legal-tech-9,9
Logistics Tech,https://www.linkedin.com/company/example-logistics-tech-10,8
Education AI,https://www.linkedin.com/company/example-education-ai-11,7
PropTech,https://www.linkedin.com/company/example-proptech-12,5
FinTech B2B platform,https://www.linkedin.com/company/example-fintech-b2b-platform-13,9
eCommerce Automation,https://www.linkedin.com/company/example-ecommerce-automation-14,8
AI SaaS,https://www.linkedin.com/company/example-ai-saas-15,10
AgriTech,https://www.linkedin.com/company/example-agritech-16,5
Travel SaaS,https://www.linkedin.com/company/example-travel-saas-17,9
Legal Tech,https://www.linkedin.com/company/example-legal-tech-18,10
eCommerce Automation,https://www.linkedin.com/company/example-ecommerce-automation-19,4
AgriTech,https://www.linkedin.com/company/example-agritech-20,6
Biotech SaaS,https://www.linkedin.com/company/example-biotech-saas-21,5
Healthcare SaaS,https://www.linkedin.com/company/example-healthcare-saas-22,7
Construction SaaS,https://www.linkedin.com/company/example-construction-saas-23,4
FinTech B2B platform,https://www.linkedin.com/company/example-fintech-b2b-platform-24,4
Retail Analytics,https://www.linkedin.com/company/example-retail-analytics-25,10
Healthcare SaaS,https://www.linkedin.com/company/example-healthcare-saas-26,6
Education AI,https://www.linkedin.com/company/example-education-ai-27,6
AgriTech,https://www.linkedin.com/company/example-agritech-28,4
Logistics Tech,https://www.linkedin.com/company/example-logistics-tech-29,7
Real Estate AI,https://www.linkedin.com/company/example-real-estate-ai-30,8
AgriTech,https://www.linkedin.com/company/example-agritech-31,5
Logistics Tech,https://www.linkedin.com/company/example-logistics-tech-32,6
Cybersecurity SaaS,https://www.linkedin.com/company/example-cybersecurity-saas-33,6
HR Tech,https://www.linkedin.com/company/example-hr-tech-34,5
AI SaaS,https://www.linkedin.com/company/example-ai-saas-35,5
HR Tech,https://www.linkedin.com/company/example-hr-tech-36,10
Legal Tech,https://www.linkedin.com/company/example-legal-tech-37,7
HR Tech,https://www.linkedin.com/company/example-hr-tech-38,10
Cybersecurity SaaS,https://www.linkedin.com/company/example-cybersecurity-saas-39,9
Insurance Tech,https://www.linkedin.com/company/example-insurance-tech-40,10
eCommerce Automation,https://www.linkedin.com/company/example-ecommerce-automation-41,9
Cybersecurity SaaS,https://www.linkedin.com/company/example-cybersecurity-saas-42,7
Marketing Automation,https://www.linkedin.com/company/example-marketing-automation-43,6
Logistics Tech,https://www.linkedin.com/company/example-logistics-tech-44,10
Construction SaaS,https://www.linkedin.com/company/example-construction-saas-45,6
Real Estate AI,https://www.linkedin.com/company/example-real-estate-ai-46,9
eCommerce Automation,https://www.linkedin.com/company/example-ecommerce-automation-47,4
PropTech,https://www.linkedin.com/company/example-proptech-48,7
Legal Tech,https://www.linkedin.com/company/example-legal-tech-49,9
Logistics Tech,https://www.linkedin.com/company/example-logistics-tech-50,10
AI SaaS,https://www.linkedin.com/company/example-ai-saas-51,4
AI SaaS,https://www.linkedin.com/company/example-ai-saas-52,9
Retail Analytics,https://www.linkedin.com/company/example-retail-analytics-53,8
Retail Analytics,https://www.linkedin.com/company/example-retail-analytics-54,5
Construction SaaS,https://www.linkedin.com/company/example-construction-saas-55,4
AgriTech,https://www.linkedin.com/company/example-agritech-56,5
GreenTech,https://www.linkedin.com/company/example-greentech-57,8
FinTech B2B platform,https://www.linkedin.com/company/example-fintech-b2b-platform-58,4
Real Estate AI,https://www.linkedin.com/company/example-real-estate-ai-59,6
PropTech,https://www.linkedin.com/company/example-proptech-60,5
Cybersecurity SaaS,https://www.linkedin.com/company/example-cybersecurity-saas-61,10
Marketing Automation,https://www.linkedin.com/company/example-marketing-automation-62,7
Retail Analytics,https://www.linkedin.com/company/example-retail-analytics-63,8
Logistics Tech,https://www.linkedin.com/company/example-logistics-tech-64,10
Travel SaaS,https://www.linkedin.com/company/example-travel-saas-65,10
Healthcare SaaS,https://www.linkedin.com/company/example-healthcare-saas-66,5
Retail Analytics,https://www.linkedin.com/company/example-retail-analytics-67,6
HR Tech,https://www.linkedin.com/company/example-hr-tech-68,4
AgriTech,https://www.linkedin.com/company/example-agritech-69,7
Cybersecurity SaaS,https://www.linkedin.com/company/example-cybersecurity-saas-70,5
Legal Tech,https://www.linkedin.com/company/example-legal-tech-71,4
Insurance Tech,https://www.linkedin.com/company/example-insurance-tech-72,9
Construction SaaS,https://www.linkedin.com/company/example-construction-saas-73,7
Healthcare SaaS,https://www.linkedin.com/company/example-healthcare-saas-74,8
Cybersecurity SaaS,https://www.linkedin.com/company/example-cybersecurity-saas-75,4
Construction SaaS,https://www.linkedin.com/company/example-construction-saas-76,4
FinTech B2B platform,https://www.linkedin.com/company/example-fintech-b2b-platform-77,8
HR Tech,https://www.linkedin.com/company/example-hr-tech-78,8
Insurance Tech,https://www.linkedin.com/company/example-insurance-tech-79,8
Retail Analytics,https://www.linkedin.com/company/example-retail-analytics-80,8
AgriTech,https://www.linkedin.com/company/example-agritech-81,6
Travel SaaS,https://www.linkedin.com/company/example-travel-saas-82,7
Retail Analytics,https://www.linkedin.com/company/example-retail-analytics-83,5
Insurance Tech,https://www.linkedin.com/company/example-insurance-tech-84,10
FinTech B2B platform,https://www.linkedin.com/company/example-fintech-b2b-platform-85,7
HR Tech,https://www.linkedin.com/company/example-hr-tech-86,8
AI SaaS,https://www.linkedin.com/company/example-ai-saas-87,5
Insurance Tech,https://www.linkedin.com/company/example-insurance-tech-88,5
PropTech,https://www.linkedin.com/company/example-proptech-89,10
HR Tech,https://www.linkedin.com/company/example-hr-tech-90,4
FinTech B2B platform,https://www.linkedin.com/company/example-fintech-b2b-platform-91,6
AgriTech,https://www.linkedin.com/company/example-agritech-92,5
Real Estate AI,https://www.linkedin.com/company/example-real-estate-ai-93,6
Real Estate AI,https://www.linkedin.com/company/example-real-estate-ai-94,7
Healthcare SaaS,https://www.linkedin.com/company/example-healthcare-saas-95,6
AgriTech,https://www.linkedin.com/company/example-agritech-96,9
Logistics Tech,https://www.linkedin.com/company/example-logistics-tech-97,7
Media Tech,https://www.linkedin.com/company/example-media-tech-98,6
Legal Tech,https://www.linkedin.com/company/example-legal-tech-99,6
GreenTech,https://www.linkedin.com/company/example-greentech-100,4
